Index,GearType,Method,Mesh,Closures,Groundfish,Dates,Shapefiles
1,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,GOM: Cape Cod Bay Restricted Area,,1:120,Cape_Cod_Bay_Restricted_Area
2,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,GOM/GB: Great South Channel Restricted Gillnet Area,,91:181,Great_South_Channel_Restricted_Gillnet_Area
3,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,GB: Northeast Canyons and Seamounts Marine National Monument,,1:365,Northeast_Canyons_and_Seamounts_Marine_National_Monument
4,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,SNE: Georges Bank Deep-Sea Coral Protection Area,,1:365,Georges_Bank_CoralProtectionArea
5,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,MAB: Northern NC State - May 1 - Oct 31,,121:304,bdtrp_N_NC_po
6,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,MAB: Frank R. Lautenberg Deep-Sea Coral Protection Area,,1:365,Frank_R_Lautenberg_Deep_Sea_Coral_Protection_Areas
7,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,SE: Southeast Restricted Area North,,319:105,Southeast_US_Restricted_Area_North
8,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,SE: Southeast Restricted Area South,,"335:365,
60:90",Southeast_US_Restricted_Area_South
9,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,SE: Georgia State Waters,,1:365,Georgia_statewaters_ALWTRP
10,1 Gillnet,1.1 Drift + Other,1.1.1 Small Mesh <=5 in.,SE: Florida State Waters,,1:365,Florida_statewaters_ALWTRP
11,1 Gillnet,1.1 Drift + Other,1.1.2 Medium Mesh 5-7 in.,GOM: Cape Cod Bay Restricted Area,,1:120,Cape_Cod_Bay_Restricted_Area
12,1 Gillnet,1.1 Drift + Other,1.1.2 Medium Mesh 5-7 in.,GOM/GB: Great South Channel Restricted Gillnet Area,,91:181,Great_South_Channel_Restricted_Gillnet_Area
13,1 Gillnet,1.1 Drift + Other,1.1.2 Medium Mesh 5-7 in.,GB: Northeast Canyons and Seamounts Marine National Monument,,1:365,Northeast_Canyons_and_Seamounts_Marine_National_Monument
14,1 Gillnet,1.1 Drift + Other,1.1.2 Medium Mesh 5-7 in.,SNE: Mudhole North Management Area - Feb 15 - Mar 15,,46:74,Mudhole_North_Management_Area
15,1 Gillnet,1.1 Drift + Other,1.1.2 Medium Mesh 5-7 in.,SNE: Mudhole South Management Area - Feb 15 - Mar 15,,32:74,Mudhole_South_Management_Area
16,1 Gillnet,1.1 Drift + Other,1.1.2 Medium Mesh 5-7 in.,SNE: Georges Bank Deep-Sea Coral Protection Area,,1:365,Georges_Bank_CoralProtectionArea
